Line	Book	Chapter	Verse
285	Mat	10	12
286	Mat	10	13
287	Mat	10	14
288	Mat	10	15
289	Mat	10	16
290	Mat	10	17
291	Mat	10	18
292	Mat	10	19
293	Mat	10	20
294	Mat	10	21
295	Mat	10	22
296	Mat	10	23
297	Mat	10	24
298	Mat	10	25
299	Mat	10	26
300	Mat	10	27
301	Mat	10	28
302	Mat	10	29
303	Mat	10	30
304	Mat	10	31
305	Mat	10	32
306	Mat	10	33
307	Mat	10	34
308	Mat	10	35
309	Mat	10	36
310	Mat	10	37
311	Mat	10	38
312	Mat	10	39
313	Mat	10	40
314	Mat	10	41
315	Mat	10	42
316	Mat	11	1
317	Mat	11	2
318	Mat	11	3
319	Mat	11	4
320	Mat	11	5
321	Mat	11	6
322	Mat	11	7
323	Mat	11	8
324	Mat	11	9
325	Mat	11	10
326	Mat	11	11
327	Mat	11	12
328	Mat	11	13
329	Mat	11	14
330	Mat	11	15
331	Mat	11	16
332	Mat	11	17
333	Mat	11	18
334	Mat	11	19
335	Mat	11	20
336	Mat	11	21
337	Mat	11	22
338	Mat	11	23
339	Mat	11	24
340	Mat	11	25
341	Mat	11	26
342	Mat	11	27
343	Mat	11	28
344	Mat	11	29
345	Mat	11	30
346	Mat	12	1
347	Mat	12	2
348	Mat	12	3
349	Mat	12	4
350	Mat	12	5
351	Mat	12	6
352	Mat	12	7
353	Mat	12	8
354	Mat	12	9
355	Mat	12	10
356	Mat	12	11
357	Mat	12	12
358	Mat	12	13
359	Mat	12	14
360	Mat	12	15
361	Mat	12	16
362	Mat	12	17
363	Mat	12	18
364	Mat	12	19
365	Mat	12	20
366	Mat	12	21
367	Mat	12	22
368	Mat	12	23
369	Mat	12	24
370	Mat	12	25
371	Mat	12	26
372	Mat	12	27
373	Mat	12	28
374	Mat	12	29
375	Mat	12	30
376	Mat	12	31
377	Mat	12	32
378	Mat	12	33
379	Mat	12	34
380	Mat	12	35
381	Mat	12	36
382	Mat	12	37
383	Mat	12	38
384	Mat	12	39
385	Mat	12	40
386	Mat	12	41
387	Mat	12	42
388	Mat	12	43
389	Mat	12	44
390	Mat	12	45
391	Mat	12	46
392	Mat	12	47
393	Mat	12	48
394	Mat	12	49
395	Mat	12	50
396	Mat	13	1
397	Mat	13	2
398	Mat	13	3
399	Mat	13	4
400	Mat	13	5
401	Mat	13	6
402	Mat	13	7
403	Mat	13	8
404	Mat	13	9
405	Mat	13	10
406	Mat	13	11
407	Mat	13	12
408	Mat	13	13
409	Mat	13	14
410	Mat	13	15
411	Mat	13	16
412	Mat	13	17
413	Mat	13	18
414	Mat	13	19
415	Mat	13	20
416	Mat	13	21
417	Mat	13	22
418	Mat	13	23
419	Mat	13	24
420	Mat	13	25
421	Mat	13	26
422	Mat	13	27
423	Mat	13	28
424	Mat	13	29
425	Mat	13	30
426	Mat	13	31
427	Mat	13	32
428	Mat	13	33
429	Mat	13	34
430	Mat	13	35
431	Mat	13	36
432	Mat	13	37
433	Mat	13	38
434	Mat	13	39
435	Mat	13	40
436	Mat	13	41
437	Mat	13	42
438	Mat	13	43
439	Mat	13	44
440	Mat	13	45
441	Mat	13	46
442	Mat	13	47
443	Mat	13	48
444	Mat	13	49
445	Mat	13	50
446	Mat	13	51
447	Mat	13	52
448	Mat	13	53
449	Mat	13	54
450	Mat	13	55
451	Mat	13	56
452	Mat	13	57
453	Mat	13	58
454	Mat	14	1
455	Mat	14	2
456	Mat	14	3
457	Mat	14	4
458	Mat	14	5
459	Mat	14	6
460	Mat	14	7
461	Mat	14	8
462	Mat	14	9
463	Mat	14	10
464	Mat	14	11
465	Mat	14	12
466	Mat	14	13
467	Mat	14	14
468	Mat	14	15
469	Mat	14	16
470	Mat	14	17
471	Mat	14	18
472	Mat	14	19
473	Mat	14	20
474	Mat	14	21
475	Mat	14	22
476	Mat	14	23
477	Mat	14	24
478	Mat	14	25
479	Mat	14	26
480	Mat	14	27
481	Mat	14	28
482	Mat	14	29
483	Mat	14	30
484	Mat	14	31
485	Mat	14	32
486	Mat	14	33
487	Mat	14	34
488	Mat	14	35
489	Mat	14	36
490	Mat	15	1
491	Mat	15	2
492	Mat	15	3
493	Mat	15	4
494	Mat	15	5
495	Mat	15	6
496	Mat	15	7
497	Mat	15	8
498	Mat	15	9
499	Mat	15	10
500	Mat	15	11
501	Mat	15	12
502	Mat	15	13
503	Mat	15	14
504	Mat	15	15
505	Mat	15	16
506	Mat	15	17
507	Mat	15	18
508	Mat	15	19
509	Mat	15	20
510	Mat	15	21
511	Mat	15	22
512	Mat	15	23
513	Mat	15	24
514	Mat	15	25
515	Mat	15	26
516	Mat	15	27
517	Mat	15	28
518	Mat	15	29
519	Mat	15	30
520	Mat	15	31
521	Mat	15	32
522	Mat	15	33
523	Mat	15	34
524	Mat	15	35
525	Mat	15	36
526	Mat	15	37
527	Mat	15	38
